****************************
RPMD umbrella configurations
****************************

Temperature                             = 300 K
Number of beads                         = 1
Time step                               = 0.0001 ps
Number of umbrella integration windows  = 107
Trajectory evolution time               = 5 ps (50000 steps)

N      -18.696467   29.083080   -0.603513
H      -42.149906 -384.244281   73.522021
H      301.925166  -19.846212  -65.136601

xi = 0.5900
N      -18.626399   29.178110   -1.008907
H      -48.134303 -374.417714   80.394206
H      306.936008  -30.993173  -66.376097

xi = 0.6000
N      -18.031877   29.234981   -0.922080
H      -41.420389 -378.798464   72.574335
H      291.961605  -27.402604  -59.762631

xi = 0.6100
N      -18.229498   28.892763   -1.113506
H      -32.209860 -363.582811   87.128469
H      285.496897  -37.863360  -71.657029

xi = 0.6200
N      -18.822511   29.616556   -2.398931
H      -29.446837 -366.100677  100.361293
H      290.973392  -45.402129  -67.029709

xi = 0.6300
N      -18.294725   29.564133   -0.735409
H      -35.766104 -364.157818   88.320384
H      289.959424  -46.616606  -78.102357

xi = 0.6400
N      -18.965388   31.047423    0.854504
H      -31.454883 -378.667116   76.683489
H      294.966621  -52.716657  -88.556264

xi = 0.6500
N      -18.727603   30.533023    1.477508
H      -30.255149 -367.533421   71.399660
H      290.463018  -56.703089  -91.928674

xi = 0.6600
N      -19.592378   30.617199    1.653912
H      -26.310315 -373.569004   63.899188
H      298.533681  -51.837083  -86.879221

xi = 0.6700
N      -21.225809   29.612955    0.432676
H       -8.156569 -366.383699   79.266119
H      303.075388  -45.069070  -85.277873

xi = 0.6800
N      -21.495550   29.809206    2.273168
H       -6.118104 -367.328101   71.144191
H      304.784800  -46.851448 -102.728386

xi = 0.6900
N      -22.050164   29.751692    0.368642
H      -18.987177 -361.317070   66.109648
H      325.359874  -52.063356  -71.231695

xi = 0.7000
N      -21.329142   30.869110   -1.689788
H      -34.794034 -366.079469   68.193550
H      331.148606  -62.826751  -44.715049

xi = 0.7100
N      -21.395854   32.072810   -1.199334
H      -31.511328 -375.489492   69.247009
H      328.792819  -70.141364  -52.583039

xi = 0.7200
N      -21.499955   32.205424   -1.292683
H      -30.573380 -371.499250   71.696812
H      329.301283  -75.974185  -53.735823

xi = 0.7300
N      -21.159348   31.910533   -0.917688
H      -29.299944 -362.192594   74.431738
H      323.295342  -81.183523  -61.681056

xi = 0.7400
N      -21.059990   32.448420   -1.265551
H      -23.691994 -364.775672   79.859777
H      316.306868  -86.074036  -62.275768

xi = 0.7500
N      -21.078737   33.177237   -2.820287
H      -30.450756 -368.794682   81.064432
H      323.326112  -92.181470  -41.878377

xi = 0.7600
N      -21.854630   33.652377   -3.365336
H      -27.417634 -373.547617   77.448670
H      331.073517  -94.030293  -30.689509

xi = 0.7700
N      -22.779027   31.920772   -2.533341
H      -33.021936 -358.490371   72.990130
H      349.521709  -85.028011  -37.790998

xi = 0.7800
N      -22.745126   31.158313   -3.018919
H      -24.853986 -342.119359   72.573179
H      340.882737  -90.805161  -30.627260

xi = 0.7900
N      -23.014087   32.449929   -2.875742
H      -29.475862 -348.125978   69.411815
H      349.241643 -102.744708  -29.455254

xi = 0.8000
N      -21.710684   31.989127   -3.613309
H      -31.485268 -345.131181   66.859531
H      333.141118  -99.336953  -16.654955

xi = 0.8100
N      -21.747447   32.281390   -3.850414
H      -33.957182 -342.140027   64.752678
H      336.123831 -106.388910  -11.253677

xi = 0.8200
N      -22.686920   32.832426   -5.111938
H      -30.568000 -352.717172   72.014220
H      345.788018 -103.468057   -0.987170

xi = 0.8300
N      -23.376860   34.401786   -4.617599
H      -30.979166 -354.894553   62.047126
H      355.785451 -123.095913    2.111410

xi = 0.8400
N      -23.527355   33.184658   -3.096336
H      -21.257738 -338.696263   50.039188
H      348.155056 -122.382999   -7.017605

xi = 0.8500
N      -23.236288   33.218234   -5.777625
H      -21.385792 -347.732939   59.210522
H      344.238920 -113.812846   21.065826

xi = 0.8600
N      -23.172533   33.806588   -4.265819
H      -22.374537 -357.566691   46.779526
H      344.341826 -112.153881   12.491262

xi = 0.8700
N      -24.168138   33.723660   -4.048379
H      -13.089859 -347.115899   44.224845
H      348.890438 -121.452442   12.024747

xi = 0.8800
N      -22.978401   34.783248   -3.091184
H      -23.355010 -351.944716   44.738836
H      342.624957 -131.345916   -1.788837

xi = 0.8900
N      -22.383100   34.556342   -1.871379
H      -22.575065 -340.740276   34.052714
H      333.573696 -139.397637   -8.051121

xi = 0.9000
N      -20.865868   34.574925   -1.619061
H      -31.764698 -326.876880   22.474924
H      321.682373 -153.519234    0.020870

xi = 0.9100
N      -20.175313   34.348296   -0.968919
H      -30.427539 -334.195142   30.004325
H      310.750412 -143.052113  -16.541826

xi = 0.9200
N      -18.365107   34.567938   -1.651982
H      -43.297559 -331.229417   50.376275
H      298.468792 -149.069620  -27.423053

xi = 0.9300
N      -19.037973   35.335620   -0.393842
H      -24.644601 -345.027692   40.118208
H      289.164863 -145.937796  -34.646031

xi = 0.9400
N      -19.567073   37.096098    0.564283
H      -23.143484 -362.466553   22.309355
H      295.015247 -152.959622  -30.149699

xi = 0.9500
N      -20.562733   38.236371   -0.133519
H       -7.129567 -380.877497   29.296819
H      292.835375 -150.392038  -27.441663

xi = 0.9600
N      -20.404494   39.117780    0.635714
H       -7.470843 -383.189570   34.728343
H      290.978037 -160.326572  -43.561171

xi = 0.9700
N      -21.144081   38.534673    1.149638
H       -7.394198 -377.173052   35.040802
H      301.177466 -158.241192  -51.014280

xi = 0.9800
N      -22.031884   37.582681    2.664393
H       -7.017002 -369.042702   24.288630
H      313.135720 -153.144231  -61.308644

xi = 0.9900
N      -21.360617   36.710962    1.952453
H       -9.652046 -355.769079   28.105071
H      306.443944 -154.305887  -55.233134

xi = 1.0000
N      -21.712227   36.158009    2.161682
H       -2.953666 -353.198797   27.357074
H      304.630959 -149.193246  -57.392235

xi = 1.0100
N      -21.414756   36.400745    2.783740
H       -9.321405 -344.305147   22.008694
H      306.865519 -161.459557  -60.686958

